clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,ingreso,termino,causa_salida,clave,nombre,corto,ultimo_digito,periodo,anio_ingreso,periodo_act,anio_ingreso_periodo,promedio,promedio_pred
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,2053.0,,1,107,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2006,70.0,75.36012
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,2053.0,,1,107,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2010,83.5,83.65324
6247,4,1,143,ALHUEY,25002.0,Angostura,2061.0,,1,143,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ago-dic,2006,69.83333333333333,67.07788
6247,4,1,143,ALHUEY,25002.0,Angostura,2061.0,,1,143,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ago-dic,2007,41.25,44.870502
6247,4,1,143,ALHUEY,25002.0,Angostura,2061.0,,1,143,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ago-dic,2008,44.2,45.520084
6247,4,1,143,ALHUEY,25002.0,Angostura,2061.0,,1,143,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ago-dic,2009,55.166666666666664,62.34015
6247,4,1,143,ALHUEY,25002.0,Angostura,2061.0,,1,143,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ago-dic,2010,46.6,63.193058
6247,4,1,143,ALHUEY,25002.0,Angostura,2061.0,,1,143,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ene-jun,2006,77.5,66.636215
6247,4,1,143,ALHUEY,25002.0,Angostura,2061.0,,1,143,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ene-jun,2007,60.166666666666664,50.621967
6247,4,1,143,ALHUEY,25002.0,Angostura,2061.0,,1,143,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ene-jun,2008,48.0,47.564674
6247,4,1,143,ALHUEY,25002.0,Angostura,2061.0,,1,143,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ene-jun,2010,39.0,58.37031
6247,4,1,143,ALHUEY,25002.0,Angostura,2061.0,,1,143,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,verano,2007,42.5,59.695194
6247,4,1,143,ALHUEY,25002.0,Angostura,2061.0,,1,143,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,verano,2009,82.0,75.69495
6249,4,1,145,PORTEZZA,25011.0,Guasave,2061.0,,1,145,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ago-dic,2006,68.33333333333333,71.61807
6249,4,1,145,PORTEZZA,25011.0,Guasave,2061.0,,1,145,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ago-dic,2007,83.6,66.705826
6249,4,1,145,PORTEZZA,25011.0,Guasave,2061.0,,1,145,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ago-dic,2008,80.25,68.072044
6249,4,1,145,PORTEZZA,25011.0,Guasave,2061.0,,1,145,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ago-dic,2009,79.66666666666667,72.7759
6249,4,1,145,PORTEZZA,25011.0,Guasave,2061.0,,1,145,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ago-dic,2010,79.6,74.5885
6249,4,1,145,PORTEZZA,25011.0,Guasave,2061.0,,1,145,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ene-jun,2006,81.66666666666667,68.56322
6249,4,1,145,PORTEZZA,25011.0,Guasave,2061.0,,1,145,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ene-jun,2007,49.6,63.830845
6249,4,1,145,PORTEZZA,25011.0,Guasave,2061.0,,1,145,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ene-jun,2008,89.8,64.81335
6249,4,1,145,PORTEZZA,25011.0,Guasave,2061.0,,1,145,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ene-jun,2009,53.166666666666664,67.304726
6249,4,1,145,PORTEZZA,25011.0,Guasave,2061.0,,1,145,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ene-jun,2010,85.0,71.66123
6249,4,1,145,PORTEZZA,25011.0,Guasave,2061.0,,1,145,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,verano,2010,70.0,84.3637
6324,4,1,7,CENTRO,25010.0,El Fuerte,2061.0,,1,7,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ago-dic,2006,83.4,74.35557
6324,4,1,7,CENTRO,25010.0,El Fuerte,2061.0,,1,7,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ago-dic,2007,81.8,68.0835
6324,4,1,7,CENTRO,25010.0,El Fuerte,2061.0,,1,7,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ago-dic,2008,74.5,68.377785
6324,4,1,7,CENTRO,25010.0,El Fuerte,2061.0,,1,7,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ago-dic,2009,89.75,71.86144
6324,4,1,7,CENTRO,25010.0,El Fuerte,2061.0,,1,7,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2006,ago-dic,2010,78.6,72.91747
