clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,clave,nombre,corto,periodo_act,anio_ingreso_periodo,promedio,promedio_pred,promedioxperiodo,alumnoEnRiesgoBajoRendimiento
3601,0,1,107,SANTA NATALIA,25006.0,Culiacan,1,107,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2008,76.16666666666667,62.85352,63.20514795918368,En riesgo
3601,0,1,107,SANTA NATALIA,25006.0,Culiacan,1,107,INGENIERIA INDUSTRIAL,Industrial,verano,2008,75.0,74.063896,81.49969047619048,Sin riesgo
3601,0,1,107,SANTA NATALIA,25006.0,Culiacan,1,107,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2009,39.5,71.95871,83.63850476190476,Sin riesgo
3601,0,1,107,SANTA NATALIA,25006.0,Culiacan,1,107,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2009,53.57142857142857,66.74659,63.20514795918368,En riesgo
3601,0,1,107,SANTA NATALIA,25006.0,Culiacan,1,107,INGENIERIA INDUSTRIAL,Industrial,verano,2009,87.5,81.77123,81.49969047619048,Sin riesgo
3601,0,1,107,SANTA NATALIA,25006.0,Culiacan,1,107,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2010,83.0,72.87993,83.63850476190476,Sin riesgo
3639,2,1,14,MAQUIPO,25011.0,Guasave,1,14,INGENIERIA MECANICA,Mecanica,ago-dic,2005,64.16666666666667,67.56436,43.713585012210025,En riesgo
3639,2,1,14,MAQUIPO,25011.0,Guasave,1,14,INGENIERIA MECANICA,Mecanica,ago-dic,2006,73.75,66.62588,43.713585012210025,En riesgo
3639,2,1,14,MAQUIPO,25011.0,Guasave,1,14,INGENIERIA MECANICA,Mecanica,ene-jun,2006,25.833333333333332,57.494328,44.446211111111104,En riesgo
3639,2,1,14,MAQUIPO,25011.0,Guasave,1,14,INGENIERIA MECANICA,Mecanica,ago-dic,2007,50.0,57.34055,43.713585012210025,En riesgo
3639,2,1,14,MAQUIPO,25011.0,Guasave,1,14,INGENIERIA MECANICA,Mecanica,ene-jun,2007,60.8,54.496357,44.446211111111104,En riesgo
3639,2,1,14,MAQUIPO,25011.0,Guasave,1,14,INGENIERIA MECANICA,Mecanica,verano,2007,75.0,64.904465,74.41486666666667,Sin riesgo
3639,2,1,14,MAQUIPO,25011.0,Guasave,1,14,INGENIERIA MECANICA,Mecanica,ago-dic,2008,76.6,60.257385,43.713585012210025,En riesgo
3639,2,1,14,MAQUIPO,25011.0,Guasave,1,14,INGENIERIA MECANICA,Mecanica,ene-jun,2008,45.8,52.69367,44.446211111111104,En riesgo
3639,2,1,14,MAQUIPO,25011.0,Guasave,1,14,INGENIERIA MECANICA,Mecanica,verano,2008,77.5,70.24645,74.41486666666667,Sin riesgo
3639,2,1,14,MAQUIPO,25011.0,Guasave,1,14,INGENIERIA MECANICA,Mecanica,ago-dic,2009,26.666666666666668,34.828335,43.713585012210025,En riesgo
3639,2,1,14,MAQUIPO,25011.0,Guasave,1,14,INGENIERIA MECANICA,Mecanica,ene-jun,2009,13.333333333333334,41.6308,44.446211111111104,En riesgo
3639,2,1,14,MAQUIPO,25011.0,Guasave,1,14,INGENIERIA MECANICA,Mecanica,ago-dic,2010,0.0,25.662174,43.713585012210025,En riesgo
3647,2,1,151,CENTRO,25004.0,Concordia,1,151,INGENIERIA MECANICA,Mecanica,ago-dic,2005,64.16666666666667,72.400314,76.19291292517006,Sin riesgo
3647,2,1,151,CENTRO,25004.0,Concordia,1,151,INGENIERIA MECANICA,Mecanica,ago-dic,2006,78.8,71.46183,76.19291292517006,Sin riesgo
3647,2,1,151,CENTRO,25004.0,Concordia,1,151,INGENIERIA MECANICA,Mecanica,ene-jun,2006,83.6,69.4264,75.87434705215416,Sin riesgo
